DesG;IdxG;IdxPar;IdxSG
non;403110101;9010000000;403110100
11-12Jeudi Bel.;403050210;9010000000;403050200
11-12Mardi Bel.;403050211;9010000000;403050200
08-09 MPJ vendr.;403050203;9010000000;403050200
09-10 Vendredi Lutry;403050206;9010000000;403050200
10-11Jeudi Bel.;403050207;9010000000;403050200
08-09 Corsy vendr.;403050202;9010000000;403050200
10-11Mardi Bel.;403050208;9010000000;403050200
10-11Vendredi Lu.;403050209;9010000000;403050200
11-12Vendredi Lu.;403050212;9010000000;403050200
Pas de groupe !;403050213;9010000000;403050200
08-09 Belm.vendr.;403050201;9010000000;403050200
09-10 Jeudi Belmont;403050204;9010000000;403050200
09-10 Vendredi Belmont;403050205;9010000000;403050200
Extérieur;403110202;9010000000;403110200
Sud;403110204;9010000000;403110200
Nord;403110203;9010000000;403110200
Divers;403110201;9010000000;403110200
100;403110304;9010000000;403110300
32;403110328;9010000000;403110300
10;403110303;9010000000;403110300
0;403110301;9010000000;403110300
22;403110317;9010000000;403110300
19;403110313;9010000000;403110300
7;403110334;9010000000;403110300
5;403110332;9010000000;403110300
17;403110311;9010000000;403110300
21;403110316;9010000000;403110300
27;403110322;9010000000;403110300
8;403110335;9010000000;403110300
30;403110326;9010000000;403110300
12;403110306;9010000000;403110300
18;403110312;9010000000;403110300
28;403110323;9010000000;403110300
15;403110309;9010000000;403110300
29;403110324;9010000000;403110300
3;403110325;9010000000;403110300
2;403110314;9010000000;403110300
14;403110308;9010000000;403110300
26;403110321;9010000000;403110300
16;403110310;9010000000;403110300
11;403110305;9010000000;403110300
13;403110307;9010000000;403110300
4;403110331;9010000000;403110300
31;403110327;9010000000;403110300
6;403110333;9010000000;403110300
20;403110315;9010000000;403110300
23;403110318;9010000000;403110300
24;403110319;9010000000;403110300
1;403110302;9010000000;403110300
34;403110330;9010000000;403110300
9;403110336;9010000000;403110300
25;403110320;9010000000;403110300
33;403110329;9010000000;403110300
Français;403110406;9010000000;403110400
Norvégien;403110409;9010000000;403110400
Anglais;403110402;9010000000;403110400
Allemand;403110401;9010000000;403110400
Suisse allemand;403110413;9010000000;403110400
SPECIAL;403110411;9010000000;403110400
Espagnol;403110404;9010000000;403110400
Suédois;403110412;9010000000;403110400
Hongrois;403110407;9010000000;403110400
FILLE;403110405;9010000000;403110400
Danois;403110403;9010000000;403110400
Roumain;403110410;9010000000;403110400
Né en 1976;403110408;9010000000;403110400
1;403110101;9020000000;403110100
2;403110102;9020000000;403110100
3;403110103;9020000000;403110100
4;403110104;9020000000;403110100
5;403110105;9020000000;403110100
6;403110106;9020000000;403110100
7;403110107;9020000000;403110100
9;403110108;9020000000;403110100
785;403110204;9020000000;403110200
10;403110201;9020000000;403110200
220;403110202;9020000000;403110200
450;403110203;9020000000;403110200
